country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB","07-01-2025 17:00:00",12.8777316,80.0834807,OZONE,6,6,6
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","07-01-2025 17:00:00",17.5316895,78.218939,OZONE,7,31,26
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB","07-01-2025 17:00:00",12.952707,79.30394,OZONE,1,1,1
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","07-01-2025 17:00:00",26.428282,80.327067,OZONE,11,13,11
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","07-01-2025 17:00:00",26.4703136,80.3229863,OZONE,6,26,22
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","07-01-2025 17:00:00",27.19412,77.96237,OZONE,6,52,28
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","07-01-2025 17:00:00",27.19862,77.92066,OZONE,1,6,3
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","07-01-2025 17:00:00",27.1594,78.3953,OZONE,14,17,15
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","07-01-2025 17:00:00",28.646233,77.358075,OZONE,2,7,6
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","07-01-2025 17:00:00",28.6603346,77.3572563,OZONE,4,14,10
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB","07-01-2025 17:00:00",26.8458805,80.9365541,OZONE,9,23,13
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","07-01-2025 17:00:00",28.359581,79.414455,OZONE,13,17,15
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","07-01-2025 17:00:00",17.417094,78.457437,OZONE,18,63,45
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","07-01-2025 17:00:00",28.83526,78.74460,OZONE,6,10,8
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","07-01-2025 17:00:00",25.4547,78.6039,OZONE,1,7,4
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","07-01-2025 17:00:00",23.6181830,87.1057180,OZONE,7,75,45
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","07-01-2025 17:00:00",25.32393,82.99687,OZONE,1,2,2
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB","07-01-2025 17:00:00",22.554954,88.292568,OZONE,4,80,59
India,West_Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","07-01-2025 17:00:00",23.5404352,87.2892225,OZONE,2,74,35
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","07-01-2025 17:00:00",22.06047,88.109737,OZONE,20,40,28
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","07-01-2025 17:00:00",22.58157048,88.41002457,OZONE,16,96,49
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","07-01-2025 17:00:00",22.556640,88.342674,OZONE,24,70,54
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","07-01-2025 17:00:00",26.6879226,88.4152495,OZONE,14,19,17
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","07-01-2025 17:00:00",22.51106,88.35142,OZONE,6,76,50
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","07-01-2025 17:00:00",28.5447608,77.3231257,OZONE,4,33,22
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","07-01-2025 17:00:00",29.2124114,78.9611753,OZONE,3,4,3
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","07-01-2025 17:00:00",30.719859,76.738637,OZONE,8,35,22
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","07-01-2025 17:00:00",26.187500,91.744194,OZONE,16,17,17
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","07-01-2025 17:00:00",25.610369,85.132568,OZONE,23,24,24
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","07-01-2025 17:00:00",25.204762,85.514960,OZONE,23,45,34
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","07-01-2025 17:00:00",24.7955,84.9994,OZONE,19,21,20
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","07-01-2025 17:00:00",13.204880,79.097889,OZONE,22,44,33
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-01-2025 17:00:00",16.9872867,81.7363176,OZONE,1,6,3
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","07-01-2025 17:00:00",22.1910172,83.5197009,OZONE,1,66,48
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","07-01-2025 17:00:00",21.258815,81.578979,OZONE,1,5,3
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","07-01-2025 17:00:00",26.80365,84.51954,OZONE,22,23,22
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","07-01-2025 17:00:00",25.5626095,84.663264,OZONE,1,17,8
India,Delhi,Delhi,"Bawana, Delhi - DPCC","07-01-2025 17:00:00",28.776200,77.051074,OZONE,21,56,46
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","07-01-2025 17:00:00",26.071318,91.87488,OZONE,21,138,54
India,Delhi,Delhi,"ITO, Delhi - CPCB","07-01-2025 17:00:00",28.628624,77.241060,OZONE,13,20,17
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","07-01-2025 17:00:00",28.588333,77.221667,SO2,23,32,27
India,Delhi,Delhi,"Pusa, Delhi - DPCC","07-01-2025 17:00:00",28.639652,77.146275,OZONE,6,12,9
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","07-01-2025 17:00:00",23.243639,72.68994,OZONE,4,92,72
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","07-01-2025 17:00:00",23.221714,72.654328,OZONE,4,29,20
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","07-01-2025 17:00:00",28.4501238,77.0263051,OZONE,8,55,42
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","07-01-2025 17:00:00",23.041137,72.456691,OZONE,24,46,40
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","07-01-2025 17:00:00",13.003872,77.664217,OZONE,29,29,29
